,spend,Impressions,leads,link_clicks,reach,Agency Tiers
0,47.33,1780,0,7,1689,4
1,63.65,1857,1,10,1737,4
2,32.53,1718,0,7,1527,4
3,32.31,1725,1,14,1645,4
4,101.13,3745,1,28,3513,4
5,31.4,1764,1,30,1641,4
6,39.94,1355,0,14,1321,4
7,39.25,1723,1,9,1656,4
8,30.51,1289,1,7,1188,4
9,15.98,1084,1,5,1030,4
10,40.95,2263,1,16,2107,4
11,39.64,1900,1,19,1875,4
12,32.43,1553,1,18,1426,4
13,37.52,1516,1,3,1413,4
14,17.79,828,1,5,702,4
15,18.3,644,0,0,601,4
16,65.51,2061,1,7,1927,4
17,48.71,2400,1,21,2152,4
18,48.43,2131,1,11,2041,4
19,18.52,705,1,14,672,4
20,18.73,520,0,3,473,4
21,20.33,842,1,5,819,4
22,18.19,713,0,5,612,4
23,49.34,1497,1,8,1422,4
24,49.41,2278,1,17,2158,4
25,31.49,1908,1,9,1745,4
26,25.86,929,0,5,881,4
27,23.2,945,1,19,886,4
28,152.9,6986,1,39,6390,4
29,80.73,2068,1,29,1854,4
30,18.28,923,0,9,907,4
31,31.98,1566,1,8,1497,4
32,23.71,1299,1,6,1221,4
33,32.69,1119,1,11,981,4
34,23.44,703,0,3,648,4
35,16.26,661,0,1,628,4
36,47.78,1869,1,13,1768,4
37,15.42,647,1,10,635,4
38,31.84,1290,0,5,1232,4
39,31.72,1298,1,9,1258,4
40,51.14,2323,1,23,2171,4
41,143.82,6009,1,24,5641,4
42,37.43,1681,1,12,1532,4
43,31.98,2277,1,11,2069,4
44,23.65,960,0,3,795,4
45,64.31,3595,1,24,3350,4
46,24.0,934,0,6,869,4
47,0.0,0,0,0,0,4
48,51.39,1823,0,20,1705,4
49,36.37,1907,1,13,1759,4
50,47.85,1601,0,10,1445,4
51,70.43,2946,1,18,2619,4
52,32.19,2235,1,15,2149,4
53,64.32,3061,1,9,2862,4
54,45.84,2723,1,25,2568,4
55,27.81,1079,1,8,1045,4
56,24.34,767,1,6,702,4
57,33.55,974,0,2,922,4
58,47.53,1286,1,7,1143,4
59,77.23,3900,1,42,3689,4
60,47.59,2198,0,11,2073,4
61,30.24,1426,1,16,1355,4
62,20.65,735,0,5,631,4
63,23.41,1182,1,5,1018,4
64,19.52,896,0,13,854,4
65,42.25,1626,1,12,1463,4
66,57.38,2311,0,22,2032,4
67,64.24,2544,1,10,2441,4
68,20.1,975,1,7,905,4
69,19.18,900,1,14,891,4
70,30.76,1327,1,14,1283,4
71,19.22,853,1,12,820,4
72,21.61,858,1,4,776,4
73,32.43,1668,1,6,1511,4
74,23.73,1069,1,13,1016,4
